epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,47956.4,0.96095,0.92781,1.26244,0.93523,0.90983,0.9341,0.77805,0.97844,0.8101,1.13271,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,48668,0.95226,0.92236,1.25744,0.93662,0.90907,0.93445,0.77839,0.97728,0.8084,1.13168,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,49379.2,0.94661,0.90994,1.2569,0.9363,0.90933,0.93465,0.77927,0.97619,0.80672,1.13067,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,50093.6,0.94302,0.91335,1.25257,0.9368,0.91054,0.93493,0.77966,0.97533,0.80511,1.13001,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,50805.8,0.94396,0.90992,1.25174,0.93762,0.91065,0.93538,0.7807,0.974,0.8033,1.12852,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,51515.4,0.9393,0.90254,1.24708,0.93735,0.91093,0.93579,0.78118,0.97309,0.80146,1.12752,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,52230.5,0.93493,0.89431,1.24519,0.9378,0.91184,0.9359,0.78167,0.97179,0.79961,1.1261,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,52934.6,0.93122,0.89499,1.24286,0.93809,0.91239,0.93627,0.78181,0.9708,0.79814,1.12524,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,53642.6,0.93099,0.88672,1.24162,0.9377,0.913,0.93659,0.78329,0.9698,0.79641,1.12421,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,54352.7,0.92087,0.87582,1.23526,0.93802,0.91355,0.937,0.78398,0.9687,0.79486,1.12312,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,55065.3,0.91953,0.87249,1.23323,0.93827,0.91346,0.93735,0.78456,0.96766,0.79314,1.12223,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,55773.1,0.92284,0.87889,1.23568,0.93932,0.91337,0.93776,0.78546,0.9667,0.79177,1.12131,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,56479.3,0.91007,0.86455,1.22836,0.9396,0.91394,0.93808,0.78555,0.96564,0.79053,1.1201,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,57231.5,0.86279,0.72394,1.19118,0.94072,0.91337,0.93832,0.78629,0.96482,0.78942,1.11914,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,57945.3,0.85473,0.72121,1.18783,0.94143,0.91345,0.9385,0.78654,0.96377,0.78767,1.11809,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,58660.4,0.84532,0.7061,1.18154,0.9421,0.91379,0.93864,0.78809,0.9629,0.78654,1.11743,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,59372.4,0.84393,0.70784,1.18329,0.94264,0.91302,0.93895,0.78829,0.96201,0.78513,1.11661,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,59979.8,0.83986,0.70001,1.17775,0.94296,0.91348,0.93921,0.78943,0.96095,0.78396,1.11544,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,60545.3,0.83407,0.695,1.17335,0.94366,0.91314,0.93947,0.79074,0.95967,0.78272,1.11429,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,61151.3,0.82821,0.6901,1.16924,0.94347,0.91396,0.93995,0.7916,0.95863,0.78141,1.1132,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,61763.1,0.82476,0.68436,1.16721,0.94444,0.91454,0.93998,0.79182,0.9575,0.78027,1.11233,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,62340.2,0.81938,0.68128,1.16608,0.94482,0.91473,0.94005,0.79249,0.95666,0.77882,1.11144,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,62837.9,0.81801,0.67543,1.16386,0.94371,0.91545,0.94031,0.79335,0.95589,0.77768,1.11041,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
